Date,EMA(26)
2024-11-21,585.32
2024-11-22,586.07
2024-11-25,586.92
2024-11-26,587.94
2024-11-27,588.75
2024-11-29,589.77
2024-12-02,590.8
2024-12-03,591.77
2024-12-04,592.95
2024-12-05,593.97
2024-12-06,595.0
2024-12-09,595.72
2024-12-10,596.24
2024-12-11,597.07
2024-12-12,597.61
2024-12-13,598.1
2024-12-16,598.74
2024-12-17,599.15
2024-12-18,598.2
2024-12-19,597.3
2024-12-20,596.84
2024-12-23,596.68
2024-12-24,597.02
2024-12-26,597.34
2024-12-27,597.17
2024-12-30,596.51
2024-12-31,595.74
2025-01-02,594.92
2025-01-03,594.7
2025-01-06,594.75
2025-01-07,594.3
2025-01-08,593.94
2025-01-10,592.94
2025-01-13,592.08
2025-01-14,591.35
2025-01-15,591.46
2025-01-16,591.47
2025-01-17,591.92
2025-01-21,592.74
2025-01-22,593.75
2025-01-23,594.94
2025-01-24,595.91
2025-01-27,596.17
2025-01-28,596.79
2025-01-29,597.16
2025-01-30,597.74
2025-01-31,598.04
2025-02-03,598.02
2025-02-04,598.3
2025-02-05,598.74
2025-02-06,599.3
2025-02-07,599.41
2025-02-10,599.81
2025-02-11,600.22
2025-02-12,600.45
2025-02-13,601.14
2025-02-14,601.77
2025-02-18,602.49
2025-02-19,603.26
2025-02-20,603.79
2025-02-21,603.5
2025-02-24,603.03
2025-02-25,602.38
2025-02-26,601.8
2025-02-27,600.56
2025-02-28,600.09
2025-03-03,598.88
2025-03-04,597.25
2025-03-05,596.2
2025-03-06,594.46
2025-03-07,593.09
2025-03-10,590.68
2025-03-11,588.11
2025-03-12,585.94
2025-03-13,583.38
2025-03-14,581.86
2025-03-17,580.77
2025-03-18,579.31
2025-03-19,578.41
2025-03-20,577.45
2025-03-21,576.45
2025-03-24,576.27
2025-03-25,576.21
2025-03-26,575.65
2025-03-27,575.02
2025-03-28,573.59
2025-03-31,572.54
2025-04-01,571.68
2025-04-02,571.15
2025-04-03,568.6
2025-04-04,563.91
2025-04-07,559.5
2025-04-08,554.83
2025-04-09,554.37
2025-04-10,552.16
2025-04-11,550.81
2025-04-14,549.94
2025-04-15,549.03
2025-04-16,547.3
2025-04-17,545.75
2025-04-21,543.39
2025-04-22,542.19
2025-04-23,541.69
2025-04-24,542.06
2025-04-25,542.7
2025-04-28,543.3
2025-04-29,544.12
2025-04-30,544.89
2025-05-01,545.9
2025-05-02,547.45
2025-05-05,548.64
2025-05-06,549.39
2025-05-07,550.26
2025-05-08,551.36
2025-05-09,552.32
2025-05-12,554.59
2025-05-13,556.98
2025-05-14,559.25
2025-05-15,561.56
2025-05-16,563.98
2025-05-19,566.27
2025-05-20,568.24
2025-05-21,569.32
2025-05-22,570.34
2025-05-23,570.99
2025-05-27,572.48
2025-05-28,573.61
2025-05-29,574.83
2025-05-30,575.91
2025-06-02,577.15
2025-06-03,578.55
2025-06-04,579.84
2025-06-05,580.82
2025-06-06,582.18
2025-06-09,583.48
2025-06-10,584.93
2025-06-11,586.15
2025-06-12,587.45
2025-06-13,588.16
2025-06-16,589.24
2025-06-17,589.85
2025-06-18,590.41
2025-06-20,590.7
2025-06-23,591.4
2025-06-24,592.54
2025-06-25,593.62
2025-06-26,594.97
2025-06-27,596.45
2025-06-30,598.04
2025-07-01,599.49
2025-07-02,601.04
2025-07-03,602.84
2025-07-07,604.16
2025-07-08,605.36
2025-07-09,606.75
2025-07-10,608.16
2025-07-11,609.31
2025-07-14,610.46
2025-07-15,611.33
2025-07-16,612.28
2025-07-17,613.45
2025-07-18,614.5
2025-07-21,615.56
2025-07-22,616.55
2025-07-23,617.86
2025-07-24,619.09
2025-07-25,620.42
2025-07-28,621.64
2025-07-29,622.65
2025-07-30,623.52
2025-07-31,624.15
2025-08-01,623.97
2025-08-04,624.5
2025-08-05,624.76
2025-08-06,625.35
2025-08-07,625.86
2025-08-08,626.7
2025-08-11,627.38
2025-08-12,628.51
2025-08-13,629.72
2025-08-14,630.85
2025-08-15,631.78
2025-08-18,632.63
2025-08-19,633.16
2025-08-20,633.53
2025-08-21,633.68
2025-08-22,634.54
2025-08-25,635.13
2025-08-26,635.87
2025-08-27,636.67
2025-08-28,637.58
2025-08-29,638.13
2025-09-02,638.29
2025-09-03,638.69
2025-09-04,639.46
2025-09-05,640.04
2025-09-08,640.69
2025-09-09,641.4
2025-09-10,642.2
2025-09-11,643.34
2025-09-12,644.38
2025-09-15,645.6
2025-09-16,646.67
2025-09-17,647.6
2025-09-18,648.69
2025-09-19,649.8
2025-09-22,651.06
2025-09-23,651.96
2025-09-24,652.64
2025-09-25,653.04
2025-09-26,653.69
2025-09-29,654.43
2025-09-30,655.3
2025-10-01,656.27
2025-10-02,657.23
2025-10-03,658.12
2025-10-06,659.12
2025-10-07,659.86
2025-10-08,660.84
2025-10-09,661.6
2025-10-10,660.96
2025-10-13,661.11
2025-10-14,661.19
2025-10-15,661.48
2025-10-16,661.42
2025-10-17,661.64
2025-10-20,662.36
2025-10-21,663.02
2025-10-22,663.37
2025-10-23,663.99
2025-10-24,664.97
2025-10-27,666.47
2025-10-28,668.0
2025-10-29,669.44
2025-10-30,670.21
2025-10-31,671.09
2025-11-03,672.0
2025-11-04,672.24
2025-11-05,672.64
2025-11-06,672.47
2025-11-07,672.36
2025-11-10,673.03
2025-11-11,673.77
2025-11-12,674.48
2025-11-13,674.3
2025-11-14,674.12
2025-11-17,673.49
2025-11-18,672.5
2025-11-19,671.77
2025-11-20,670.34
2025-11-21,669.5
2025-11-24,669.44
2025-11-25,669.85
2025-11-26,670.58
2025-11-28,671.53
2025-12-01,672.18
2025-12-02,672.87
2025-12-03,673.69
2025-12-04,674.48
2025-12-05,675.31
2025-12-08,675.93
2025-12-09,676.46
2025-12-10,677.28
2025-12-11,678.16
2025-12-12,678.43
2025-12-15,678.6
2025-12-16,678.62
2025-12-17,678.09
2025-12-18,677.97
2025-12-19,678.16
2025-12-22,678.65
2025-12-23,679.34
2025-12-24,680.16
2025-12-26,680.91
2025-12-29,681.42
